track_id,file_name,audio_path,status,error_type,error_message,duration_sec,sample_rate_hz,n_samples,peak_amplitude,waveform_rms,n_fft,hop_length,elapsed_sec
1,1.mp3,data_raw/PMEmo/chorus/1.mp3,ok,,,32.02612244897959,22050,706176,0.8858199119567871,0.18023672800520704,2048,512,1.7728
4,4.mp3,data_raw/PMEmo/chorus/4.mp3,ok,,,28.02938775510204,22050,618048,0.9982198476791382,0.36085164465441355,2048,512,0.7868
5,5.mp3,data_raw/PMEmo/chorus/5.mp3,ok,,,84.03591836734694,22050,1852992,1.0675071477890015,0.30525985568226804,2048,512,2.3874
6,6.mp3,data_raw/PMEmo/chorus/6.mp3,ok,,,29.466122448979593,22050,649728,1.143132209777832,0.2979045277359303,2048,512,0.8302
7,7.mp3,data_raw/PMEmo/chorus/7.mp3,ok,,,29.048163265306123,22050,640512,1.1448980569839478,0.28158685581551146,2048,512,0.8345
8,8.mp3,data_raw/PMEmo/chorus/8.mp3,ok,,,40.04571428571428,22050,883008,1.1035282611846924,0.31911974907875096,2048,512,1.1667
9,9.mp3,data_raw/PMEmo/chorus/9.mp3,ok,,,23.04,22050,508032,1.1676822900772095,0.3316983889763221,2048,512,0.659
10,10.mp3,data_raw/PMEmo/chorus/10.mp3,ok,,,32.02612244897959,22050,706176,1.009527564048767,0.28176452325826856,2048,512,0.9463
11,11.mp3,data_raw/PMEmo/chorus/11.mp3,ok,,,15.046530612244897,22050,331776,0.9362362623214722,0.1710618480731583,2048,512,0.4326
12,12.mp3,data_raw/PMEmo/chorus/12.mp3,ok,,,27.036734693877552,22050,596160,1.010203242301941,0.3233635214107426,2048,512,0.7736
13,13.mp3,data_raw/PMEmo/chorus/13.mp3,ok,,,33.04489795918367,22050,728640,1.0347652435302734,0.2992185125025554,2048,512,0.9472
14,14.mp3,data_raw/PMEmo/chorus/14.mp3,ok,,,26.04408163265306,22050,574272,0.9278533458709717,0.2853794208848243,2048,512,0.7391
15,15.mp3,data_raw/PMEmo/chorus/15.mp3,ok,,,37.04163265306122,22050,816768,0.9769365787506104,0.29484150352640287,2048,512,1.0454
16,16.mp3,data_raw/PMEmo/chorus/16.mp3,ok,,,51.04326530612245,22050,1125504,0.958611011505127,0.2660924432925869,2048,512,1.4444
17,17.mp3,data_raw/PMEmo/chorus/17.mp3,ok,,,53.02857142857143,22050,1169280,1.0300487279891968,0.32531207943791024,2048,512,1.5115
